#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  14
# Band-Index:    1
   9.25346    -33.310235  0.000  0.244  0.000  0.731  0.000  0.000  0.000  0.000  0.000  0.975
   9.20219    -33.308638  0.000  0.244  0.000  0.732  0.000  0.000  0.000  0.000  0.000  0.976
   9.15092    -33.306758  0.000  0.244  0.000  0.732  0.000  0.000  0.000  0.000  0.000  0.976
   9.09965    -33.318662  0.000  0.000  0.983  0.000  0.000  0.000  0.000  0.000  0.000  0.983
   9.04838    -33.332168  0.000  0.000  0.982  0.000  0.000  0.000  0.000  0.000  0.000  0.982
   8.99711    -33.346223  0.000  0.000  0.982  0.000  0.000  0.000  0.000  0.000  0.000  0.982
   8.94584    -33.360440  0.000  0.000  0.981  0.000  0.000  0.000  0.000  0.000  0.000  0.981
   8.89457    -33.374444  0.000  0.000  0.980  0.000  0.000  0.000  0.000  0.000  0.000  0.980
   8.84330    -33.387827  0.000  0.000  0.979  0.000  0.000  0.000  0.000  0.000  0.000  0.979
   8.79203    -33.400236  0.000  0.000  0.978  0.000  0.000  0.000  0.000  0.000  0.000  0.978
   8.74075    -33.411344  0.000  0.000  0.978  0.000  0.000  0.000  0.000  0.000  0.000  0.978
   8.68948    -33.420884  0.000  0.000  0.977  0.000  0.000  0.000  0.000  0.000  0.000  0.977
   8.63821    -33.428586  0.000  0.000  0.977  0.000  0.000  0.000  0.000  0.000  0.000  0.977
   8.58694    -33.434238  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   8.53567    -33.437697  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   8.48440    -33.438858  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   8.48440    -33.434953  0.000  0.242  0.000  0.727  0.000  0.000  0.000  0.000  0.000  0.969
   8.43313    -33.434715  0.000  0.242  0.000  0.727  0.000  0.000  0.000  0.000  0.000  0.969
   8.38186    -33.434048  0.000  0.242  0.000  0.727  0.000  0.000  0.000  0.000  0.000  0.969
   8.33059    -33.432981  0.000  0.242  0.000  0.727  0.000  0.000  0.000  0.000  0.000  0.969
   8.27932    -33.431528  0.000  0.242  0.000  0.727  0.000  0.000  0.000  0.000  0.000  0.969
   8.22805    -33.429722  0.000  0.242  0.000  0.727  0.000  0.000  0.000  0.000  0.000  0.969
   8.17678    -33.427620  0.000  0.242  0.000  0.727  0.000  0.000  0.000  0.000  0.000  0.970
   8.12551    -33.425277  0.000  0.242  0.000  0.727  0.000  0.000  0.000  0.000  0.000  0.970
   8.07424    -33.422757  0.000  0.242  0.000  0.727  0.000  0.000  0.000  0.000  0.000  0.970
   8.02297    -33.420122  0.000  0.243  0.000  0.728  0.000  0.000  0.000  0.000  0.000  0.970
   7.97170    -33.417453  0.000  0.243  0.000  0.728  0.000  0.000  0.000  0.000  0.000  0.970
   7.92043    -33.414811  0.000  0.243  0.000  0.728  0.000  0.000  0.000  0.000  0.000  0.971
   7.86916    -33.412275  0.000  0.243  0.000  0.728  0.000  0.000  0.000  0.000  0.000  0.971
   7.81789    -33.411180  0.000  0.000  0.977  0.000  0.000  0.000  0.000  0.000  0.000  0.977
   7.76662    -33.422525  0.000  0.000  0.977  0.000  0.000  0.000  0.000  0.000  0.000  0.977
   7.71535    -33.432232  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   7.66408    -33.440058  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
   7.61281    -33.445786  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
   7.56153    -33.449286  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
   7.51026    -33.450463  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
   7.51026    -33.543756  0.000  0.000  0.967  0.000  0.000  0.000  0.000  0.000  0.000  0.967
   7.43757    -33.542915  0.000  0.000  0.968  0.000  0.000  0.000  0.000  0.000  0.000  0.968
   7.36487    -33.540430  0.000  0.000  0.968  0.000  0.000  0.000  0.000  0.000  0.000  0.968
   7.29217    -33.536391  0.000  0.000  0.968  0.000  0.000  0.000  0.000  0.000  0.000  0.968
   7.21948    -33.530901  0.000  0.000  0.968  0.000  0.000  0.000  0.000  0.000  0.000  0.968
   7.14678    -33.524198  0.000  0.000  0.969  0.000  0.000  0.000  0.000  0.000  0.000  0.969
   7.07408    -33.516504  0.000  0.000  0.970  0.000  0.000  0.000  0.000  0.000  0.000  0.970
   7.00138    -33.508067  0.000  0.000  0.970  0.000  0.000  0.000  0.000  0.000  0.000  0.970
   6.92869    -33.499189  0.000  0.000  0.971  0.000  0.000  0.000  0.000  0.000  0.000  0.971
   6.85599    -33.490145  0.000  0.000  0.972  0.000  0.000  0.000  0.000  0.000  0.000  0.972
   6.78329    -33.481237  0.000  0.000  0.973  0.000  0.000  0.000  0.000  0.000  0.000  0.973
   6.71060    -33.472734  0.000  0.000  0.973  0.000  0.000  0.000  0.000  0.000  0.000  0.973
   6.63790    -33.464889  0.000  0.000  0.974  0.000  0.000  0.000  0.000  0.000  0.000  0.974
   6.56520    -33.457890  0.000  0.000  0.974  0.000  0.000  0.000  0.000  0.000  0.000  0.974
   6.49250    -33.451895  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
   6.41981    -33.447008  0.000  0.000  0.975  0.000  0.000  0.000  0.000  0.000  0.000  0.975
   6.34711    -33.443295  0.000  0.000  0.976  0.000  0.000  0.000  0.000  0.000  0.000  0.976
