#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  14
# Band-Index:    1
   9.04838    -56.928921  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   9.09965    -56.930003  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   9.15092    -56.931003  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   9.20219    -56.931925  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   9.25346    -56.932700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   9.30473    -56.933315  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   9.35600    -56.933773  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   9.40727    -56.934041  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   9.45854    -56.934124  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
 
# Band-Index:    2
   9.45854    -33.313205  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   9.40727    -33.313029  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   9.35600    -33.312463  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   9.30473    -33.311516  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   9.25346    -33.310235  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   9.20219    -33.308638  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   9.15092    -33.306758  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   9.09965    -33.318662  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   9.04838    -33.332168  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.99711    -33.346223  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   8.94584    -33.360440  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   8.89457    -33.374444  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   8.84330    -33.387827  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   8.79203    -33.400236  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   8.74075    -33.411344  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   8.68948    -33.420884  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   8.63821    -33.428586  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   8.58694    -33.434238  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   8.53567    -33.437697  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   8.48440    -33.438858  0.000  0.002  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.002
   8.48440    -33.434953  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   8.43313    -33.434715  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   8.38186    -33.434048  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   8.33059    -33.432981  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   8.27932    -33.431528  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   8.22805    -33.429722  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   8.17678    -33.427620  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   8.12551    -33.425277  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   8.07424    -33.422757  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   8.02297    -33.420122  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
