      #Energy        TDOS
     -49.97704       0.00000
     -49.94204       0.00000
     -49.90604       0.00000
     -49.87104       0.00000
     -49.83604       0.00000
     -49.80004       0.00000
     -49.76504       0.00000
     -49.72904       0.00000
     -49.69404       0.00000
     -49.65804       0.00000
     -49.62304       0.00000
     -49.58704       0.00000
     -49.55204       0.00000
     -49.51704       0.00000
     -49.48104       0.00000
     -49.44604       0.00000
     -49.41004       0.00000
     -49.37504       0.00000
     -49.33904       0.00000
     -49.30404       0.00000
     -49.26904       0.00000
     -49.23304       0.00000
     -49.19804       0.00000
     -49.16204       0.00000
     -49.12704       0.00000
     -49.09104       0.00000
     -49.05604       0.00000
     -49.02004       0.00000
     -48.98504       0.00000
     -48.95004       0.00000
     -48.91404       0.00000
     -48.87904       0.00000
     -48.84304       0.00000
     -48.80804       0.00000
     -48.77204       0.00000
     -48.73704       0.00000
     -48.70104       0.00000
     -48.66604       0.00000
     -48.63104       0.00000
     -48.59504       0.00000
     -48.56004       0.00000
     -48.52404       0.00000
     -48.48904       0.00000
     -48.45304       0.00000
     -48.41804       0.00000
     -48.38204       0.00000
     -48.34704       0.00000
     -48.31204       0.00000
     -48.27604       0.00000
     -48.24104       0.00000
     -48.20504       0.00000
     -48.17004       0.00000
     -48.13404       0.00000
     -48.09904       0.00000
     -48.06304       0.00000
     -48.02804       0.00000
     -47.99304       0.00000
     -47.95704       0.00000
     -47.92204       0.00000
     -47.88604       0.00000
     -47.85104       0.00000
     -47.81504       0.00000
     -47.78004       0.00000
     -47.74404       0.00000
     -47.70904       0.00000
     -47.67404       0.00000
     -47.63804       0.00000
     -47.60304       0.00000
     -47.56704       0.00000
     -47.53204       0.00000
     -47.49604       0.00000
     -47.46104       0.00000
     -47.42504       0.00000
     -47.39004       0.00000
     -47.35504       0.00000
     -47.31904       0.00000
     -47.28404       0.00000
     -47.24804       0.00000
     -47.21304       0.00000
     -47.17704       0.00000
     -47.14204       0.00000
     -47.10604       0.00000
     -47.07104       0.00000
     -47.03604       0.00000
     -47.00004       0.00000
     -46.96504       0.00000
     -46.92904       0.00000
     -46.89404       0.00000
     -46.85804       0.00000
     -46.82304       0.00000
     -46.78704       0.00000
     -46.75204       0.00000
     -46.71704       0.00000
     -46.68104       0.00000
     -46.64604       0.00000
     -46.61004       0.00000
     -46.57504       0.00000
     -46.53904       0.00000
     -46.50404       0.00000
     -46.46804       0.00000
     -46.43304       0.00000
     -46.39804       0.00000
     -46.36204       0.00000
     -46.32704       0.00000
     -46.29104       0.00000
     -46.25604       0.00000
     -46.22004       0.00000
     -46.18504       0.00000
     -46.15004       0.00000
     -46.11404       0.00000
     -46.07904       0.00000
     -46.04304       0.00000
     -46.00804       0.00000
     -45.97204       0.00000
     -45.93704       0.00000
     -45.90104       0.00000
     -45.86604       0.00000
     -45.83104       0.00000
     -45.79504       0.00000
     -45.76004       0.00000
     -45.72404       0.00000
     -45.68904       0.00000
     -45.65304       0.00000
     -45.61804       0.00000
     -45.58204       0.00000
     -45.54704       0.00000
     -45.51204       0.00000
     -45.47604       0.00000
     -45.44104       0.00000
     -45.40504       0.00000
     -45.37004       0.00000
     -45.33404       0.00000
     -45.29904       0.00000
     -45.26304       0.00000
     -45.22804       0.00000
     -45.19304       0.00000
     -45.15704       0.00000
     -45.12204       0.00000
     -45.08604       0.00000
     -45.05104       0.00000
     -45.01504       0.00000
     -44.98004       0.00000
     -44.94404       0.00000
     -44.90904       0.00000
     -44.87404       0.00000
     -44.83804       0.00000
     -44.80304       0.00000
     -44.76704       0.00000
     -44.73204       0.00000
     -44.69604       0.00000
     -44.66104       0.00000
     -44.62504       0.00000
     -44.59004       0.00000
     -44.55504       0.00000
     -44.51904       0.00000
     -44.48404       0.00000
     -44.44804       0.00000
     -44.41304       0.00000
     -44.37704       0.00000
     -44.34204       0.00000
     -44.30604       0.00000
     -44.27104       0.00000
     -44.23604       0.00000
     -44.20004       0.00000
     -44.16504       0.00000
     -44.12904       0.00000
     -44.09404       0.00000
     -44.05804       0.00000
     -44.02304       0.00000
     -43.98704       0.00000
     -43.95204       0.00000
