      #Energy        TDOS
     -49.97704       2.87766
     -49.94204       2.87766
     -49.90604       2.87766
     -49.87104       2.87766
     -49.83604       2.87766
     -49.80004       2.87766
     -49.76504       2.87766
     -49.72904       2.87766
     -49.69404       2.87766
     -49.65804       2.87766
     -49.62304       2.87766
     -49.58704       2.87766
     -49.55204       2.87766
     -49.51704       2.87766
     -49.48104       2.87766
     -49.44604       2.87766
     -49.41004       2.87766
     -49.37504       2.87766
     -49.33904       2.87766
     -49.30404       2.87766
     -49.26904       2.87766
     -49.23304       2.87766
     -49.19804       2.87766
     -49.16204       2.87766
     -49.12704       2.87766
     -49.09104       2.87766
     -49.05604       2.87766
     -49.02004       2.87766
     -48.98504       2.87766
     -48.95004       2.87766
     -48.91404       2.87766
     -48.87904       2.87766
     -48.84304       2.87766
     -48.80804       2.87766
     -48.77204       2.87766
     -48.73704       2.87766
     -48.70104       2.87766
     -48.66604       2.87766
     -48.63104       2.87766
     -48.59504       2.87766
     -48.56004       2.87766
     -48.52404       2.87766
     -48.48904       2.87766
     -48.45304       2.87766
     -48.41804       2.87766
     -48.38204       2.87766
     -48.34704       2.87766
     -48.31204       2.87766
     -48.27604       2.87766
     -48.24104       2.87766
     -48.20504       2.87766
     -48.17004       2.87766
     -48.13404       2.87766
     -48.09904       2.87766
     -48.06304       2.87766
     -48.02804       2.87766
     -47.99304       2.87766
     -47.95704       2.87766
     -47.92204       2.87766
     -47.88604       2.87766
     -47.85104       2.87766
     -47.81504       2.87766
     -47.78004       2.87766
     -47.74404       2.87766
     -47.70904       2.87766
     -47.67404       2.87766
     -47.63804       2.87766
     -47.60304       2.87766
     -47.56704       2.87766
     -47.53204       2.87766
     -47.49604       2.87766
     -47.46104       2.87766
     -47.42504       2.87766
     -47.39004       2.87766
     -47.35504       2.87766
     -47.31904       2.87766
     -47.28404       2.87766
     -47.24804       2.87766
     -47.21304       2.87766
     -47.17704       2.87766
     -47.14204       2.87766
     -47.10604       2.87766
     -47.07104       2.87766
     -47.03604       2.87766
     -47.00004       2.87766
     -46.96504       2.87766
     -46.92904       2.87766
     -46.89404       2.87766
     -46.85804       2.87766
     -46.82304       2.87766
     -46.78704       2.87766
     -46.75204       2.87766
     -46.71704       2.87766
     -46.68104       2.87766
     -46.64604       2.87766
     -46.61004       2.87766
     -46.57504       2.87766
     -46.53904       2.87766
     -46.50404       2.87766
     -46.46804       2.87766
     -46.43304       2.87766
     -46.39804       2.87766
     -46.36204       2.87766
     -46.32704       2.87766
     -46.29104       2.87766
     -46.25604       2.87766
     -46.22004       2.87766
     -46.18504       2.87766
     -46.15004       2.87766
     -46.11404       2.87766
     -46.07904       2.87766
     -46.04304       2.87766
     -46.00804       2.87766
     -45.97204       2.87766
     -45.93704       2.87766
     -45.90104       2.87766
     -45.86604       2.87766
     -45.83104       2.87766
     -45.79504       2.87766
     -45.76004       2.87766
     -45.72404       2.87766
     -45.68904       2.87766
     -45.65304       2.87766
     -45.61804       2.87766
     -45.58204       2.87766
     -45.54704       2.87766
     -45.51204       2.87766
     -45.47604       2.87766
     -45.44104       2.87766
     -45.40504       2.87766
     -45.37004       2.87766
     -45.33404       2.87766
     -45.29904       2.87766
     -45.26304       2.87766
     -45.22804       2.87766
     -45.19304       2.87766
     -45.15704       2.87766
     -45.12204       2.87766
     -45.08604       2.87766
     -45.05104       2.87766
     -45.01504       2.87766
     -44.98004       2.87766
     -44.94404       2.87766
     -44.90904       2.87766
     -44.87404       2.87766
     -44.83804       2.87766
     -44.80304       2.87766
     -44.76704       2.87766
     -44.73204       2.87766
     -44.69604       2.87766
     -44.66104       2.87766
     -44.62504       2.87766
     -44.59004       2.87766
     -44.55504       2.87766
     -44.51904       2.87766
     -44.48404       2.87766
     -44.44804       2.87766
     -44.41304       2.87766
     -44.37704       2.87766
     -44.34204       2.87766
     -44.30604       2.87766
     -44.27104       2.87766
     -44.23604       2.87766
     -44.20004       2.87766
     -44.16504       2.87766
     -44.12904       2.87766
     -44.09404       2.87766
     -44.05804       2.87766
     -44.02304       2.87766
     -43.98704       2.87766
     -43.95204       2.87766
